,track_name,track_id,artist_name,artist_id,album_id
174,Zero,3960047,Imagine Dragons,29472,
175,On Top of the World,109209,Imagine Dragons,29472,
176,Birds,4033941,Imagine Dragons,29472,
177,Rise Up,3081381,Imagine Dragons,29472,
178,I Don’t Know Why,3081379,Imagine Dragons,29472,
179,Warriors,520879,Imagine Dragons,29472,
180,SAD!,3430186,XXXTENTACION,396565,
181,Jocelyn Flores,3185661,XXXTENTACION,396565,
182,Look At Me!,2441478,XXXTENTACION,396565,
183,Fuck Love,3182605,XXXTENTACION,396565,
184,Revenge,3082569,XXXTENTACION,396565,
185,changes,3549578,XXXTENTACION,396565,
186,Moonlight,3453573,XXXTENTACION,396565,
187,Everybody Dies in Their Nightmares,3206881,XXXTENTACION,396565,
188,Hope,3539284,XXXTENTACION,396565,
189,the remedy for a broken heart (why am I so in love),3577658,XXXTENTACION,396565,
190,"I spoke to the devil in miami, he said everything would be fine",2460482,XXXTENTACION,396565,
191,Falling Down,3906162,Lil Peep & XXXTENTACION,1581869,
192,BAD!,3729609,XXXTENTACION,396565,
193,Arms Around You,3720335,XXXTENTACION & Lil Pump,1614425,
194,Riot,1783157,XXXTENTACION,396565,
195,Off the Wall!,3116126,XXXTENTACION,396565,
196,Carry On,3206879,XXXTENTACION,396565,
197,I don’t wanna do this anymore,2865278,XXXTENTACION,396565,
198,Save Me,3151455,XXXTENTACION,396565,
199,$$$,3577665,XXXTENTACION & Matt Ox,1593048,
200,Girls Like You (Remix),3754239,Maroon 5,13539,
201,Memories,4881650,Maroon 5,13539,
202,What Lovers Do,3212901,Maroon 5,13539,
203,Payphone,71518,Maroon 5,13539,
204,Sugar,508933,Maroon 5,13539,
205,Girls Like You,3261716,Maroon 5,13539,
206,One More Night,78316,Maroon 5,13539,
207,Don’t Wanna Know,2851057,Maroon 5,13539,
208,Animals,502834,Maroon 5,13539,
209,Cold,2949528,Maroon 5,13539,
210,She Will Be Loved,87556,Maroon 5,13539,
211,Maps,452357,Maroon 5,13539,
212,This Love,102120,Maroon 5,13539,
213,Wait,3261710,Maroon 5,13539,
214,Sunday Morning,190916,Maroon 5,13539,
215,Beautiful Mistakes,6520355,Maroon 5 & Megan Thee Stallion,2629656,
216,Moves Like Jagger,55583,Maroon 5,13539,
217,Nobody’s Love,5785261,Maroon 5,13539,
218,Whiskey,3161385,Maroon 5,13539,
219,Misery,72945,Maroon 5,13539,
220,That’s What I Like,2909160,Bruno Mars,500,
221,Finesse (Remix),3411476,Bruno Mars,500,
222,Versace on the Floor,2898687,Bruno Mars,500,
223,Leave The Door Open,6531412,Silk Sonic,2622290,
224,24K Magic,2872960,Bruno Mars,500,
225,When I Was Your Man,122542,Bruno Mars,500,
226,Locked Out of Heaven,90551,Bruno Mars,500,
227,It Will Rain,57149,Bruno Mars,500,
228,Grenade,58988,Bruno Mars,500,
229,Wake Up in the Sky,3955579,"Gucci Mane, Bruno Mars & Kodak Black",1577927,
230,Just the Way You Are,724006,Bruno Mars,500,
231,Please Me,4314565,Cardi B & Bruno Mars,1730061,
232,Talking to the Moon,85221,Bruno Mars,500,
233,Finesse,2898791,Bruno Mars,500,
234,Count on Me,100690,Bruno Mars,500,
235,Smokin Out The Window,7131091,Silk Sonic,2622290,
236,Treasure,113496,Bruno Mars,500,
237,The Lazy Song,49966,Bruno Mars,500,
238,Chunky,2883439,Bruno Mars,500,
239,Marry You,186229,Bruno Mars,500,
240,lovely,3422526,Billie Eilish & Khalid,1444143,
241,Young Dumb & Broke,2988428,Khalid,9932,
242,Location,2471323,Khalid,9932,
243,Eastside,3828011,"​benny blanco, Halsey & Khalid",1628850,
244,Better,3952794,Khalid,9932,
245,Talk,4277430,Khalid,9932,
246,Saved,2481874,Khalid,9932,
247,Love Lies,3396356,Khalid & Normani,1385240,
248,OTW,3617530,Khalid,9932,
249,Coaster,2831895,Khalid,9932,
250,Saturday Nights,4027737,Khalid,9932,
251,8TEEN,2999741,Khalid,9932,
252,Suncity,4027739,Khalid,9932,
253,American Teen,2988480,Khalid,9932,
254,The Ways,3487548,Khalid & Swae Lee,1357233,
255,Therapy,2999748,Khalid,9932,
256,Another Sad Love Song,2999740,Khalid,9932,
257,Shot Down,2973338,Khalid,9932,
258,Angels,2999751,Khalid,9932,
259,Reasons,2427699,Khalid,9932,
260,HUMBLE.,3039923,Kendrick Lamar,1421,
261,m.A.A.d city,90478,Kendrick Lamar,1421,
262,Swimming Pools (Drank),81159,Kendrick Lamar,1421,
263,DNA.,3035222,Kendrick Lamar,1421,
264,Money Trees,90475,Kendrick Lamar,1421,
265,XXX.,3047142,Kendrick Lamar,1421,
266,"Bitch, Don’t Kill My Vibe",90473,Kendrick Lamar,1421,
267,King Kunta,721659,Kendrick Lamar,1421,
268,Poetic Justice,92856,Kendrick Lamar,1421,
269,LOVE.,3047141,Kendrick Lamar,1421,
270,Alright,722278,Kendrick Lamar,1421,
271,Backseat Freestyle,92853,Kendrick Lamar,1421,
272,"Sing About Me, I’m Dying of Thirst",90479,Kendrick Lamar,1421,
273,The Blacker the Berry,701372,Kendrick Lamar,1421,
274,King’s Dead,3429382,"Jay Rock, Kendrick Lamar, Future & James Blake",1403568,
275,ELEMENT.,3047132,Kendrick Lamar,1421,
276,LOYALTY.,3047135,Kendrick Lamar,1421,
277,i (Album Version),523961,Kendrick Lamar,1421,
278,A.D.H.D,51801,Kendrick Lamar,1421,
279,FEAR.,3047144,Kendrick Lamar,1421,
280,Young and Beautiful,137656,Lana Del Rey,15740,
281,Summertime Sadness,64764,Lana Del Rey,15740,
282,West Coast,402524,Lana Del Rey,15740,
283,A&W,8621374,Lana Del Rey,15740,
284,Video Games,64755,Lana Del Rey,15740,
285,Love,2956717,Lana Del Rey,15740,
286,Born To Die,61458,Lana Del Rey,15740,
287,Norman fucking Rockwell,3965734,Lana Del Rey,15740,
288,Lust for Life,3037651,Lana Del Rey,15740,
289,hope is a dangerous thing for a woman like me to have - but i have it,3615920,Lana Del Rey,15740,
290,Mariners Apartment Complex,3945416,Lana Del Rey,15740,
291,Cherry,3091673,Lana Del Rey,15740,
292,Carmen,64762,Lana Del Rey,15740,
293,Ultraviolence,438407,Lana Del Rey,15740,
294,Cinnamon Girl,4016817,Lana Del Rey,15740,
295,High By The Beach,2276865,Lana Del Rey,15740,
296,Doin’ Time,4533523,Lana Del Rey,15740,
297,Venice Bitch,3953493,Lana Del Rey,15740,
298,National Anthem,64759,Lana Del Rey,15740,
299,Did you know that there’s a tunnel under Ocean Blvd,8617107,Lana Del Rey,15740,
300,Drunk in Love,299177,Beyoncé,498,
301,Formation,2419257,Beyoncé,498,
302,Partition,299325,Beyoncé,498,
303,Halo,52158,Beyoncé,498,
304,APESHIT,3786530,THE CARTERS,1408735,
305,Girls Love Beyoncé,140797,Drake,130,
306,If I Were a Boy,83613,Beyoncé,498,
307,Perfect Duet,3343029,Ed Sheeran & Beyoncé,1280523,
308,Mine,299098,Beyoncé,498,
309,Hold Up,2461219,Beyoncé,498,
310,Flawless Remix,489227,Beyoncé,498,
311,Sorry,2461226,Beyoncé,498,
312,Pray You Catch Me,2457299,Beyoncé,498,
313,All Night,2461241,Beyoncé,498,
314,FRIENDS,3786537,THE CARTERS,1408735,
315,***Flawless,299370,Beyoncé,498,
316,LOVEHAPPY,3786540,THE CARTERS,1408735,
317,Freedom,2461233,Beyoncé,498,
318,Don’t Hurt Yourself,2461230,Beyoncé,498,
319,BROWN SKIN GIRL,4704081,"Blue Ivy, SAINt JHN, Beyoncé & Wizkid",2341522,
320,Mask Off,2989266,Future,2197,
321,Jumpman,2311373,Drake & Future,568186,
322,King’s Dead,3429382,"Jay Rock, Kendrick Lamar, Future & James Blake",1403568,
323,Oldie,68399,Odd Future,1739,
324,Low Life,2396302,Future,2197,
325,Life Is Good,5111026,Future,2197,
326,March Madness,726052,Future,2197,
327,Like That,10125497,"Future, Metro Boomin & Kendrick Lamar",3889398,
328,my future,5798642,Billie Eilish,615550,
329,Isis,4573439,Joyner Lucas,345077,
330,Comin Out Strong,2999435,Future,2197,
331,Diamonds Dancing,2311366,Drake & Future,568186,
332,Where Ya At,2213109,Future,2197,
333,Codeine Crazy,559442,Future,2197,
334,Fuck Up Some Commas,559003,Future,2197,
335,I’m Sorry,2836122,Joyner Lucas,345077,
336,Thought It Was a Drought,2213836,Future,2197,
337,Big Rings,2311363,Drake & Future,568186,
338,Scholarships,2311255,Drake & Future,568186,
339,I’m Not Racist,3339483,Joyner Lucas,345077,
340,Shallow,3352793,Lady Gaga & Bradley Cooper,1494027,
341,Poker Face,1316,Lady Gaga,447,
342,Bad Romance,1313,Lady Gaga,447,
343,Rain On Me,5317861,Lady Gaga & Ariana Grande,2155035,
344,Always Remember Us This Way,3646077,Lady Gaga,447,
345,Do What U Want,237963,Lady Gaga,447,
346,Sour Candy,5489013,Lady Gaga & BLACKPINK,2205561,
347,Sexxx Dreams,212646,Lady Gaga,447,
348,Million Reasons,2865087,Lady Gaga,447,
349,Born This Way,4320,Lady Gaga,447,
350,I’ll Never Love Again (Extended Version),3771490,Lady Gaga,447,
351,G.U.Y.,237954,Lady Gaga,447,
352,Paparazzi,153998,Lady Gaga,447,
353,Bloody Mary,80393,Lady Gaga,447,
354,911,5489011,Lady Gaga,447,
355,Applause,203835,Lady Gaga,447,
356,Just Dance,51012,Lady Gaga,447,
357,The Cure,3056170,Lady Gaga,447,
358,Venus,236818,Lady Gaga,447,
359,Telephone,54504,Lady Gaga,447,
360,No Role Modelz,599427,J. Cole,69,
361,Power Trip,118063,J. Cole,69,
362,Wet Dreamz,599388,J. Cole,69,
363,Crooked Smile,93987,J. Cole,69,
364,MIDDLE CHILD,4248426,J. Cole,69,
365,She Knows,164574,J. Cole,69,
366,Deja Vu,2924188,J. Cole,69,
367,Love Yourz,599451,J. Cole,69,
368,G.O.M.D.,599424,J. Cole,69,
369,Apparently,599442,J. Cole,69,
370,Fire Squad,599417,J. Cole,69,
371,4 Your Eyez Only,2924190,J. Cole,69,
372,1985,3656498,J. Cole,69,
373,A Tale of 2 Citiez,599407,J. Cole,69,
374,KOD,3656724,J. Cole,69,
375,Kevin’s Heart,3660088,J. Cole,69,
376,Neighbors,2924189,J. Cole,69,
377,03' Adolescence,599410,J. Cole,69,
378,Forbidden Fruit,162425,J. Cole,69,
379,Work Out,51110,J. Cole,69,
380,Look at Me Now,3046,Chris Brown,438,
381,No Guidance,4533406,Chris Brown,438,
382,Ayo,640182,Chris Brown & Tyga,322517,
383,Privacy,2948513,Chris Brown,438,
384,Love More,186120,Chris Brown,438,
385,Loyal,386111,Chris Brown,438,
386,Autumn Leaves,317207,Chris Brown,438,
387,Loyal (East Coast Version),304607,Chris Brown,438,
388,Pills & Automobiles,3183508,Chris Brown,438,
389,Stranger Things,3424803,Joyner Lucas & Chris Brown,1401054,
390,Under the Influence,4906284,Chris Brown,438,
391,No Air,99753,Jordin Sparks & Chris Brown,377895,
392,Deuces (Remix),1414,Chris Brown,438,
393,Grass Ain’t Greener,2465509,Chris Brown,438,
394,Deuces,1406,Chris Brown,438,
395,Party,2930448,Chris Brown,438,
396,New Flame,374937,Chris Brown,438,
397,Heat,4580213,Chris Brown,438,
398,Go Crazy,5532594,Chris Brown & Young Thug,2213021,
399,Zero,2170320,Chris Brown,438,
400,Closer,2458848,The Chainsmokers,150934,
401,Something Just Like This,2998843,The Chainsmokers & Coldplay,1091336,
402,Paris,2944779,The Chainsmokers,150934,
403,All We Know,2867244,The Chainsmokers,150934,
404,Roses,2138429,The Chainsmokers,150934,
405,Don’t Let Me Down,2416822,The Chainsmokers,150934,
406,This Feeling,3944273,The Chainsmokers,150934,
407,Sick Boy,3113471,The Chainsmokers,150934,
408,Takeaway,3554433,The Chainsmokers & ILLENIUM,1406263,
409,The One,3021922,The Chainsmokers,150934,
410,Who Do You Love,4287454,The Chainsmokers & 5 Seconds of Summer,1722246,
411,Somebody,3658752,The Chainsmokers,150934,
412,Everybody Hates Me,3516743,The Chainsmokers,150934,
413,Hope,4153464,The Chainsmokers,150934,
414,You Owe Me,3526014,The Chainsmokers,150934,
