movie,processed_movie,Associated Music Genres
   Over The Hedge (2006),over the hedge,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Superbad (2007),superbad,"r-n-b,hip-hop,pop,happy"
   The Devil's Advocate (1997),the devil's advocate,"acoustic,piano,chill,ambient,dubstep,singer-songwriter,synthwave,rock,indie-pop,downtempo,drum-and-bass,alternative,dark-ambient,trip-hop,electronic,indie"
   The Fault in Our Stars (2014),the fault in our stars,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Song of the Sea (2014),song of the sea,"acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   Jackie Brown (1997),jackie brown,"acoustic,piano,reggae,ambient,dubstep,singer-songwriter,synthwave,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,dark-ambient,chill,electronic,indie"
   Cube (1997),cube,"acoustic,darkwave,piano,ambient,chill,metal,singer-songwriter,synthwave,rock,indie-pop,downtempo,noise,alternative,dark-ambient,trip-hop,electronic,indie,industrial"
   Rio (2011),rio,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   The DUFF (2015),the duff,"folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Bolt (2008),bolt,"acoustic,piano,folk,ambient,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,alternative,world-music,indie"
   The Conjuring,the conjuring,"darkwave,chill,ambient,dubstep,synthwave,downtempo,drum-and-bass,dark-ambient,noise,metal,trip-hop,electronic,industrial"
   Pitch Perfect,pitch perfect,"jazz,folk,funk,blues,pop,romantic,singer-songwriter,hip-hop,r-n-b,indie,soul"
   Rush (2013),rush,"acoustic,country,folk,punk,piano,dubstep,hard-rock,alternative,pop,singer-songwriter,indie-pop,drum-and-bass,rock,metal,electronic,indie"
   The Ballad of Buster Scruggs (2018),the ballad of buster scruggs,"acoustic,piano,pop,singer-songwriter,rock,indie-pop,alternative,dance,r-n-b,indie,musical-theatre,soul"
   Good Will Hunting (1997),good will hunting,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Carrie (1976),carrie,"darkwave,chill,ambient,synthwave,downtempo,dark-ambient,noise,metal,trip-hop,electronic,industrial"
