track_name,track_id,artist_name,artist_id
Mac 10,4338522,Trippie Redd,1086436
Blade of Woe,3082763,Trippie Redd,1086436
Real Feel,4901535,Trippie Redd,1086436
Hurts Me,9266033,Tory Lanez & Trippie Redd,3594068
Oomps Revenge,3730320,Trippie Redd,1086436
Deadman’s Wonderland,3262455,Trippie Redd,1086436
The Way,5154488,Trippie Redd,1086436
I Love You,5148005,Trippie Redd,1086436
Me Likey,3766235,Trippie Redd,1086436
This Ain’t That,4893107,Trippie Redd,1086436
Immortal,4724431,Trippie Redd,1086436
XXXTENTACION - Fuck Love ft. Trippie Redd (Traducción al Español),3562495,Genius Traducciones al Español,1376254
"Me, Myself & I",2329765,G-Eazy & Bebe Rexha,1839646
In the Name of Love,2442307,Martin Garrix & Bebe Rexha,1296302
Home,3288845,"​mgk, X Ambassadors & Bebe Rexha",1684885
Meant to Be,3182458,Bebe Rexha & Florida Georgia Line,3360548
I’m a Mess,3240731,Bebe Rexha,104044
Say My Name,3821305,"David Guetta, Bebe Rexha & J Balvin",1561035
The Way I Are (Dance with Somebody),2866364,Bebe Rexha,104044
I’m Good (Blue),3037193,David Guetta & Bebe Rexha,3270247
F.F.F.,2824021,Bebe Rexha,104044
That’s How You Know,2171829,Nico & Vinz & Kid Ink & Bebe Rexha,3472164
No Broken Hearts,2404782,Bebe Rexha,104044
Call You Mine,4587720,The Chainsmokers & Bebe Rexha,1901220
I Got You,2893223,Bebe Rexha,104044
"Baby, I’m Jealous",5542462,Bebe Rexha,104044
I’m Gonna Show You Crazy,633702,Bebe Rexha,104044
Last Hurrah,4126487,Bebe Rexha,104044
Bad Bitch,2866360,Bebe Rexha,104044
Knees,3562880,Bebe Rexha,104044
Ferrari,3149657,Bebe Rexha,104044
Atmosphere,2410304,Bebe Rexha,104044
Break My Heart Myself,5311763,Bebe Rexha,104044
Self Control,3620826,Bebe Rexha,104044
Gateway Drug,2445318,Bebe Rexha,104044
PUSH BACK,3270657,"Ne-Yo, Bebe Rexha & Stefflon Don",1799565
Small Doses,2456991,Bebe Rexha,104044
(Not) The One,3019820,Bebe Rexha,104044
Sabotage,4822437,Bebe Rexha,104044
You Can’t Stop the Girl,4031398,Bebe Rexha,104044
Sacrifice,6520994,Bebe Rexha,104044
2 Souls on Fire,3600368,Bebe Rexha,104044
Harder,4687521,Jax Jones & Bebe Rexha,1880650
Not 20 Anymore,4333094,Bebe Rexha,104044
Grace,3620827,Bebe Rexha,104044
I Got Time,3110811,Bebe Rexha,104044
Don’t Need Anything,2437479,Bebe Rexha,104044
Steady,3680885,Bebe Rexha,104044
That’s It,3126626,Bebe Rexha,104044
Shining Star,3620855,Bebe Rexha,104044
I Can’t Stop Drinking About You,384679,Bebe Rexha,104044
Don’t Get Any Closer,3620857,Bebe Rexha,104044
I Don’t Wanna Grow Up,1786647,Bebe Rexha,104044
Die For a Man,5907065,Bebe Rexha,104044
